Judgement	Transcription	Linked	Comments
4	00:14:56.870,00:19:20.530,spk_2,	True	
4	02:40:34.380,02:42:32.780,spk_5,	False	
4	00:52:05.910,00:54:11.690,spk_1,	True	
4	02:49:16.000,02:50:21.800,spk_5,	False	
4	00:13:15.140,00:14:55.280,spk_2,	True	
4	01:41:13.970,01:42:38.750,spk_2,	True	
4	01:44:09.870,01:47:18.530,spk_2,	True	
4	00:30:28.110,00:31:38.810,spk_1,	False	
4	02:42:33.790,02:44:06.490,spk_5,	True	
4	01:06:40.160,01:08:22.430,spk_1,	True	
4	02:46:36.920,02:48:09.500,spk_5,	True	
4	00:59:17.080,01:04:12.400,spk_2,	False	
4	01:26:16.010,01:28:29.380,spk_2,	False	
4	01:48:05.420,01:51:00.940,spk_2,	True	
4	01:39:01.130,01:41:13.020,spk_2,	True	
4	00:49:36.040,00:52:04.810,spk_1,	True	
4	01:19:04.440,01:22:31.530,spk_3,	False	The text is not linked, but the part of the video which played is relevant. 
4	02:56:46.700,02:58:05.400,spk_5,	True	
4	02:01:04.390,02:02:33.360,spk_2,	False	
5	00:14:56.870,00:19:20.530,spk_2,	True	
5	00:13:15.140,00:14:55.280,spk_2,	True	
5	02:42:33.790,02:44:06.490,spk_5,	True	
5	02:18:31.070,02:20:01.510,spk_2,	True	
5	01:39:01.130,01:41:13.020,spk_2,	True	
5	00:59:17.080,01:04:12.400,spk_2,	True	
5	01:52:34.270,01:55:07.520,spk_2,	True	
5	02:40:34.380,02:42:32.780,spk_5,	True	
5	02:46:36.920,02:48:09.500,spk_5,	True	
5	02:29:18.690,02:32:25.190,spk_2,	True	
5	01:26:16.010,01:28:29.380,spk_2,	True	
5	00:24:52.520,00:27:30.190,spk_2,	True	
5	01:48:05.420,01:51:00.940,spk_2,	False	
5	00:30:28.110,00:31:38.810,spk_1,	True	
5	01:44:09.870,01:47:18.530,spk_2,	False	
5	02:44:38.040,02:46:35.590,spk_5,	True	
5	00:44:22.430,00:45:26.090,spk_2,	True	
5	02:01:04.390,02:02:33.360,spk_2,	False	
5	00:50:41.100,00:52:05.590,spk_2,	False	
5	02:21:33.390,02:22:25.760,spk_2,	True	
6	01:36:37.070,01:37:42.880,spk_2,	True	
6	01:52:34.270,01:55:07.520,spk_2,	True	
6	01:48:05.420,01:51:00.940,spk_2,	True	
6	02:42:33.790,02:44:06.490,spk_5,	True	
6	01:44:09.870,01:47:18.530,spk_2,	True	
6	00:59:17.080,01:04:12.400,spk_2,	True	
6	01:08:25.990,01:13:19.420,spk_2,	True	
6	00:48:57.720,00:50:39.970,spk_2,	True	
6	00:45:33.240,00:48:10.550,spk_2,	True	
6	00:24:52.520,00:27:30.190,spk_2,	True	
6	00:44:22.430,00:45:26.090,spk_2,	True	
6	00:13:15.140,00:14:55.280,spk_2,	True	
6	01:13:20.440,01:18:26.090,spk_2,	True	
6	01:26:16.010,01:28:29.380,spk_2,	True	
6	01:07:14.550,01:08:25.020,spk_2,	True	
6	00:50:41.100,00:52:05.590,spk_2,	True	
6	01:43:08.690,01:46:04.310,spk_5,	True	
6	02:46:36.920,02:48:09.500,spk_5,	False	
6	01:22:53.160,01:25:14.300,spk_2,	False	
6	00:56:29.130,00:58:15.270,spk_3,	True	
7	01:52:34.270,01:55:07.520,spk_2,	True	
7	00:59:08.630,01:00:46.840,spk_3,	True	
7	01:44:09.870,01:47:18.530,spk_2,	False	
7	01:13:20.440,01:18:26.090,spk_2,	False	
7	01:48:05.420,01:51:00.940,spk_2,	False	
7	01:26:16.010,01:28:29.380,spk_2,	True	
7	00:59:17.080,01:04:12.400,spk_2,	False	
7	01:43:08.690,01:46:04.310,spk_5,	True	
7	01:08:25.990,01:13:19.420,spk_2,	True	
7	01:36:37.070,01:37:42.880,spk_2,	True	
7	00:24:52.520,00:27:30.190,spk_2,	False	
7	00:45:33.240,00:48:10.550,spk_2,	True	
7	00:56:29.130,00:58:15.270,spk_3,	True	
7	01:22:53.160,01:25:14.300,spk_2,	False	
7	01:07:14.550,01:08:25.020,spk_2,	False	
7	02:42:33.790,02:44:06.490,spk_5,	False	
7	00:48:57.720,00:50:39.970,spk_2,	False	
7	00:50:41.100,00:52:05.590,spk_2,	False	
7	01:29:00.320,01:33:02.970,spk_5,	True	
7	02:40:34.380,02:42:32.780,spk_5,	True	
8	01:52:34.270,01:55:07.520,spk_2,	True	
8	01:36:37.070,01:37:42.880,spk_2,	True	
8	00:13:15.140,00:14:55.280,spk_2,	True	
8	01:44:09.870,01:47:18.530,spk_2,	False	
8	02:42:33.790,02:44:06.490,spk_5,	True	
8	00:59:17.080,01:04:12.400,spk_2,	False	
8	02:46:36.920,02:48:09.500,spk_5,	False	
8	01:48:05.420,01:51:00.940,spk_2,	True	
8	01:08:25.990,01:13:19.420,spk_2,	False	
8	00:48:57.720,00:50:39.970,spk_2,	True	
8	01:02:14.650,01:03:42.580,spk_3,	True	
8	00:50:41.100,00:52:05.590,spk_2,	True	
8	00:45:33.240,00:48:10.550,spk_2,	True	
8	02:29:18.690,02:32:25.190,spk_2,	False	
8	00:24:52.520,00:27:30.190,spk_2,	False	
8	01:13:20.440,01:18:26.090,spk_2,	True	
8	00:44:22.430,00:45:26.090,spk_2,	False	
8	01:41:13.970,01:42:38.750,spk_2,	True	
8	02:40:34.380,02:42:32.780,spk_5,	True	
8	01:43:08.690,01:46:04.310,spk_5,	True	
9	01:33:04.780,01:35:42.390,spk_5,	True	
9	01:44:09.870,01:47:18.530,spk_2,	True	
9	00:43:18.010,00:46:20.850,spk_1,	True	
9	00:45:48.020,00:47:04.330,spk_3,	True	
9	01:52:34.270,01:55:07.520,spk_2,	False	
9	01:43:08.690,01:46:04.310,spk_5,	True	
9	00:00:58.800,00:02:21.540,spk_1,	True	
9	01:29:00.320,01:33:02.970,spk_5,	True	
9	01:01:03.870,01:02:02.790,spk_3,	False	
9	02:03:02.390,02:05:13.530,spk_2,	False	
9	01:22:53.160,01:25:14.300,spk_2,	False	
9	00:53:19.600,00:59:14.450,spk_2,	True	
9	00:08:12.890,00:11:11.220,spk_3,	True	
9	00:35:39.590,00:36:30.200,spk_2,	False	
9	01:49:23.270,01:50:02.100,spk_5,	True	
9	01:41:13.970,01:42:38.750,spk_2,	True	
9	00:56:29.130,00:58:15.270,spk_3,	False	
9	00:07:03.410,00:08:05.530,spk_3,	True	
9	02:39:05.110,02:40:25.730,spk_5,	False	
9	01:46:42.580,01:47:47.720,spk_5,	True	
10	00:07:03.410,00:08:05.530,spk_3,	True	
10	01:43:08.690,01:46:04.310,spk_5,	True	
10	01:52:34.270,01:55:07.520,spk_2,	True	
10	01:33:04.780,01:35:42.390,spk_5,	True	
10	00:08:12.890,00:11:11.220,spk_3,	True	
10	01:29:00.320,01:33:02.970,spk_5,	True	
10	00:56:29.130,00:58:15.270,spk_3,	True	
10	02:09:52.470,02:12:11.600,spk_5,	True	
10	01:13:20.440,01:18:26.090,spk_2,	False	
10	01:44:09.870,01:47:18.530,spk_2,	False	
10	01:08:25.990,01:13:19.420,spk_2,	False	
10	02:05:22.600,02:06:50.000,spk_2,	False	
10	00:59:08.630,01:00:46.840,spk_3,	True	
10	00:53:19.600,00:59:14.450,spk_2,	False	
10	01:07:14.550,01:08:25.020,spk_2,	False	
10	00:43:18.010,00:46:20.850,spk_1,	True	
10	00:00:58.800,00:02:21.540,spk_1,	True	
10	02:06:52.420,02:09:26.450,spk_2,	False	
10	00:45:33.240,00:48:10.550,spk_2,	False	
10	01:22:53.160,01:25:14.300,spk_2,	False	
11	02:09:31.760,02:11:50.910,spk_2,	True	
11	00:35:37.360,00:37:15.860,spk_3,	True	
11	02:23:20.260,02:24:28.920,spk_5,	True	
11	00:37:40.310,00:39:38.140,spk_3,	True	
11	00:40:13.460,00:41:02.950,spk_3,	True	
11	00:41:05.180,00:43:21.260,spk_3,	True	
11	02:09:52.470,02:12:11.600,spk_5,	False	
11	01:58:45.240,02:02:00.450,spk_5,	True	
11	00:25:24.590,00:30:27.190,spk_1,	True	
11	00:08:12.890,00:11:11.220,spk_3,	False	
11	01:13:20.440,01:18:26.090,spk_2,	True	
11	00:19:32.470,00:20:30.260,spk_3,	True	
11	00:27:17.540,00:29:31.650,spk_3,	True	
11	02:29:18.690,02:32:25.190,spk_2,	False	
11	01:52:34.270,01:55:07.520,spk_2,	True	
11	02:05:22.600,02:06:50.000,spk_2,	False	
11	02:06:52.420,02:09:26.450,spk_2,	True	
11	00:04:30.900,00:05:20.710,spk_2,	False	
11	00:59:17.080,01:04:12.400,spk_2,	True	
11	00:00:58.800,00:02:21.540,spk_1,	True	
12	00:49:36.040,00:52:04.810,spk_1,	True	
12	00:52:05.910,00:54:11.690,spk_1,	True	
12	01:06:40.160,01:08:22.430,spk_1,	True	
12	00:33:35.250,00:36:02.070,spk_1,	True	
12	02:58:43.800,03:00:48.500,spk_5,	True	
12	02:49:16.000,02:50:21.800,spk_5,	True	
12	01:19:04.440,01:22:31.530,spk_3,	True	
12	00:59:17.080,01:04:12.400,spk_2,	True	
12	00:19:40.260,00:20:12.080,spk_1,	True	
12	01:52:34.270,01:55:07.520,spk_2,	False	
12	00:24:45.090,00:25:13.620,spk_1,	True	
12	00:55:56.690,00:57:13.790,spk_1,	True	
12	00:30:28.110,00:31:38.810,spk_1,	True	
12	00:43:18.010,00:46:20.850,spk_1,	True	
12	02:01:04.390,02:02:33.360,spk_2,	True	
12	01:13:20.440,01:18:26.090,spk_2,	False	
12	02:46:36.920,02:48:09.500,spk_5,	True	
12	01:41:13.970,01:42:38.750,spk_2,	True	
12	00:24:52.520,00:27:30.190,spk_2,	False	
12	01:33:02.730,01:33:25.120,spk_3,	True	
13	01:06:40.160,01:08:22.430,spk_1,	True	
13	01:05:19.480,01:06:25.080,spk_1,	True	
13	00:52:05.910,00:54:11.690,spk_1,	True	
13	02:49:16.000,02:50:21.800,spk_5,	True	
13	00:33:35.250,00:36:02.070,spk_1,	False	
13	02:58:43.800,03:00:48.500,spk_5,	False	
13	00:49:36.040,00:52:04.810,spk_1,	True	
13	00:30:28.110,00:31:38.810,spk_1,	True	
13	01:41:13.970,01:42:38.750,spk_2,	False	
13	01:19:04.440,01:22:31.530,spk_3,	True	
13	01:50:11.950,01:51:29.850,spk_3,	False	
13	01:23:10.610,01:24:49.890,spk_3,	True	
13	02:03:02.390,02:05:13.530,spk_2,	False	
13	01:44:09.870,01:47:18.530,spk_2,	False	
13	01:43:08.690,01:46:04.310,spk_5,	False	
13	02:46:36.920,02:48:09.500,spk_5,	True	
13	02:56:46.700,02:58:05.400,spk_5,	False	
13	00:20:23.380,00:21:01.930,spk_2,	False	
13	01:52:34.270,01:55:07.520,spk_2,	False	
13	00:55:56.690,00:57:13.790,spk_1,	True	
14	02:58:43.800,03:00:48.500,spk_5,	True	
14	00:49:36.040,00:52:04.810,spk_1,	True	
14	00:59:17.080,01:04:12.400,spk_2,	True	
14	01:06:40.160,01:08:22.430,spk_1,	True	
14	02:49:16.000,02:50:21.800,spk_5,	True	
14	00:33:35.250,00:36:02.070,spk_1,	True	
14	02:46:36.920,02:48:09.500,spk_5,	True	
14	01:52:34.270,01:55:07.520,spk_2,	False	
14	00:30:28.110,00:31:38.810,spk_1,	True	
14	00:52:05.910,00:54:11.690,spk_1,	True	
14	01:13:20.440,01:18:26.090,spk_2,	False	
14	01:19:04.440,01:22:31.530,spk_3,	False	
14	01:08:25.990,01:13:19.420,spk_2,	False	
14	02:50:22.800,02:51:01.100,spk_5,	True	
14	00:20:23.380,00:21:01.930,spk_2,	True	
14	00:24:45.090,00:25:13.620,spk_1,	True	
14	00:21:46.630,00:22:40.930,spk_3,	True	
14	00:43:18.010,00:46:20.850,spk_1,	True	
14	00:59:08.630,01:00:46.840,spk_3,	False	
14	00:19:40.260,00:20:12.080,spk_1,	True	
15	00:43:18.010,00:46:20.850,spk_1,	False	
15	00:49:36.040,00:52:04.810,spk_1,	True	
15	00:42:29.890,00:43:02.600,spk_1,	True	
15	00:01:19.470,00:04:11.340,spk_2,	True	
15	02:05:22.600,02:06:50.000,spk_2,	False	
15	02:58:43.800,03:00:48.500,spk_5,	False	
15	01:19:04.440,01:22:31.530,spk_3,	True	
15	01:13:20.440,01:18:26.090,spk_2,	True	
15	00:19:40.260,00:20:12.080,spk_1,	True	
15	00:21:46.630,00:22:40.930,spk_3,	False	
15	00:52:40.240,00:54:46.770,spk_3,	True	
15	00:47:48.190,00:49:34.740,spk_1,	False	
15	01:20:35.250,01:22:01.650,spk_1,	True	
15	00:33:35.250,00:36:02.070,spk_1,	True	
15	00:00:58.800,00:02:21.540,spk_1,	False	
15	01:08:25.990,01:13:19.420,spk_2,	False	
15	02:46:36.920,02:48:09.500,spk_5,	True	
15	00:50:41.100,00:52:05.590,spk_2,	False	
15	00:54:47.680,00:55:31.430,spk_3,	True	
15	00:52:05.910,00:54:11.690,spk_1,	True	
16	02:09:31.760,02:11:50.910,spk_2,	True	
16	00:25:24.590,00:30:27.190,spk_1,	True	
16	02:09:52.470,02:12:11.600,spk_5,	True	
16	00:43:18.010,00:46:20.850,spk_1,	True	
16	01:58:45.240,02:02:00.450,spk_5,	True	
16	01:13:20.440,01:18:26.090,spk_2,	False	
16	00:08:12.890,00:11:11.220,spk_3,	True	
16	02:23:20.260,02:24:28.920,spk_5,	True	
16	00:27:17.540,00:29:31.650,spk_3,	True	
16	01:29:00.320,01:33:02.970,spk_5,	True	
16	01:07:14.550,01:08:25.020,spk_2,	True	
16	00:23:27.620,00:24:14.880,spk_3,	True	
16	00:07:03.410,00:08:05.530,spk_3,	True	
16	00:59:17.080,01:04:12.400,spk_2,	True	
16	01:43:08.690,01:46:04.310,spk_5,	True	
16	02:06:52.420,02:09:26.450,spk_2,	True	
16	02:05:22.600,02:06:50.000,spk_2,	True	
16	01:44:09.870,01:47:18.530,spk_2,	True	
16	01:52:34.270,01:55:07.520,spk_2,	True	
16	00:37:40.310,00:39:38.140,spk_3,	False	
17	00:13:15.140,00:14:55.280,spk_2,	True	
17	00:59:17.080,01:04:12.400,spk_2,	True	
17	02:42:33.790,02:44:06.490,spk_5,	True	
17	01:36:37.070,01:37:42.880,spk_2,	True	
17	01:52:34.270,01:55:07.520,spk_2,	False	
17	00:14:56.870,00:19:20.530,spk_2,	True	
17	01:48:05.420,01:51:00.940,spk_2,	True	
17	02:01:04.390,02:02:33.360,spk_2,	True	
17	01:13:20.440,01:18:26.090,spk_2,	False	
17	01:22:53.160,01:25:14.300,spk_2,	True	
17	02:44:38.040,02:46:35.590,spk_5,	True	
17	01:44:09.870,01:47:18.530,spk_2,	False	
17	01:26:16.010,01:28:29.380,spk_2,	True	
17	02:29:18.690,02:32:25.190,spk_2,	False	
17	00:48:57.720,00:50:39.970,spk_2,	True	
17	02:18:31.070,02:20:01.510,spk_2,	True	
17	01:07:14.550,01:08:25.020,spk_2,	True	
17	02:46:36.920,02:48:09.500,spk_5,	True	
17	02:40:34.380,02:42:32.780,spk_5,	True	
17	01:08:25.990,01:13:19.420,spk_2,	True	
18	01:52:34.270,01:55:07.520,spk_2,	True	
18	00:59:17.080,01:04:12.400,spk_2,	True	
18	01:25:15.520,01:25:53.960,spk_2,	True	
18	01:13:20.440,01:18:26.090,spk_2,	True	
18	02:46:36.920,02:48:09.500,spk_5,	False	
18	01:08:25.990,01:13:19.420,spk_2,	False	
18	00:14:56.870,00:19:20.530,spk_2,	False	
18	00:13:15.140,00:14:55.280,spk_2,	False	
18	01:44:09.870,01:47:18.530,spk_2,	False	
18	01:48:05.420,01:51:00.940,spk_2,	False	
18	01:36:37.070,01:37:42.880,spk_2,	False	
18	02:42:33.790,02:44:06.490,spk_5,	False	
18	00:59:08.630,01:00:46.840,spk_3,	True	
18	02:29:18.690,02:32:25.190,spk_2,	False	
18	02:44:38.040,02:46:35.590,spk_5,	True	
18	02:01:04.390,02:02:33.360,spk_2,	False	
18	01:51:01.840,01:52:33.200,spk_2,	True	
18	01:26:16.010,01:28:29.380,spk_2,	True	
18	00:45:33.240,00:48:10.550,spk_2,	True	
18	01:22:53.160,01:25:14.300,spk_2,	True	
19	01:52:34.270,01:55:07.520,spk_2,	True	
19	00:59:08.630,01:00:46.840,spk_3,	True	
19	01:13:20.440,01:18:26.090,spk_2,	False	
19	01:08:25.990,01:13:19.420,spk_2,	False	
19	00:59:17.080,01:04:12.400,spk_2,	True	
19	01:44:09.870,01:47:18.530,spk_2,	True	
19	02:40:34.380,02:42:32.780,spk_5,	False	
19	01:36:37.070,01:37:42.880,spk_2,	False	
19	02:09:52.470,02:12:11.600,spk_5,	True	
19	00:41:05.180,00:43:21.260,spk_3,	False	
19	02:01:04.390,02:02:33.360,spk_2,	False	
19	00:00:58.800,00:02:21.540,spk_1,	False	
19	00:27:17.540,00:29:31.650,spk_3,	True	
19	01:26:16.010,01:28:29.380,spk_2,	False	
19	02:29:18.690,02:32:25.190,spk_2,	False	
19	02:46:36.920,02:48:09.500,spk_5,	True	
19	01:22:53.160,01:25:14.300,spk_2,	False	
19	00:50:41.100,00:52:05.590,spk_2,	False	
19	02:42:33.790,02:44:06.490,spk_5,	False	
19	02:44:38.040,02:46:35.590,spk_5,	False	
20	01:46:42.580,01:47:47.720,spk_5,	True	
20	00:26:21.720,00:27:13.150,spk_3,	True	
20	00:01:12.370,00:02:40.020,spk_3,	True	
20	00:00:58.800,00:02:21.540,spk_1,	False	
20	00:45:48.020,00:47:04.330,spk_3,	True	
20	02:15:13.610,02:15:35.020,spk_5,	False	
20	02:08:19.050,02:09:17.170,spk_5,	True	
20	02:39:05.110,02:40:25.730,spk_5,	False	
20	00:23:27.620,00:24:14.880,spk_3,	True	
20	01:27:51.100,01:28:57.610,spk_5,	True	
20	00:44:46.760,00:45:47.260,spk_6,	True	
20	01:33:04.780,01:35:42.390,spk_5,	True	
20	01:49:23.270,01:50:02.100,spk_5,	False	
20	01:46:13.200,01:46:38.550,spk_3,	True	
20	00:33:24.180,00:34:07.990,spk_3,	True	
20	00:12:37.770,00:13:45.190,spk_6,	False	
20	00:07:03.410,00:08:05.530,spk_3,	True	
20	01:26:26.870,01:27:01.770,spk_1,	False	
20	00:08:37.820,00:09:22.850,spk_1,	False	
20	00:43:02.580,00:43:19.840,spk_2,	False	
