start,end,speaker,text
00:05:40.750,00:05:48.030,spk_3,"I wasn't suggesting it was an outright order, I was suggesting it was an order for possession forthwith suspended for 28 days on conditions."
00:05:48.040,00:07:57.530,spk_2,"Yes, My Lady. That's been part of the difficulty in framing the template orders under Section 85 of the Housing Act 1985. It appears that draftsmen have not really got their heads round the distinction between the delivery of possession, that is the order for possession and then the execution of that order. And as My Lady says, if I may say so perfectly properly, this appears to be an order for possession under which execution of the order is made conditional. However, that is not how it has been interpreted. One might think surprisingly, and when it was so interpreted in Harlow v Hall, that was then that was the dynamic for the changes that then took place. So well, My Lady as ahead of certainly me, in terms of the terminology of the order, I took My Lords and My Lady to the description of the order, as form N28 suspended order for recovery of land, but the terms of the order are in the first paragraph that it is a judge that the plaintiff do recover against the defendant possession of the land mentioned, and in the second paragraph, a monetary judgment for arrears of rent and cost of £95, coming to, as the court will appreciate, the wrong total figure. The figure is in fact, £100 higher. In the third paragraph, it's ordered that the judgment for possession shall not be enforced for 28 days in any event, and for so long thereafter, as the defendant punctually pays the plaintiff for his agent, the arrears of rent mean profits and costs by the 4th of March 1987. We shall see shortly that the words which have been blanked out there and indeed you can just make out the last of them, are per week in addition to the current rent, because the common use of this form would been to require installments of X pounds per week in addition to the current rent. Those words been deleted in this case to provide that everything must be paid by the 4th of March 1987."
00:07:57.540,00:08:00.160,spk_3,"Do you suppose that anybody intended that? To"
00:08:00.160,00:08:00.700,spk_2,"delete it, My Lady?"
00:08:02.390,00:08:08.290,spk_3,"Do you suppose that anybody intended that the whole arrears should be paid by the 4th of March 1987?"
00:08:08.750,00:08:10.000,spk_2,"Indeed, My Lady."
00:08:10.040,00:08:11.770,spk_3,"It"
00:08:11.770,00:08:41.690,spk_2,"is a sad fact that these cases are dealt with in great bulk. The judges do not complete the orders. They simply usually fill in a pro former provided by the court staff, and the court staff then take away the pro former and transfer it onto this template. If it's any comfort, the prospects for this template being correctly completed are better, as reflected by the fact that it's been completed in handwriting that has been possible with the benefit of information technology."
00:08:41.940,00:08:44.650,spk_0,"Do you suggest that Mr Austin probably wasn't present?"
00:08:45.290,00:08:47.900,spk_1,"There's no proposals were made about the"
00:08:47.910,00:08:49.000,spk_0,"payment of arrears."
00:08:49.650,00:09:18.270,spk_2,"I accept that inference, My Lord, but I can't confirm one way or the other. It's speculation. It's simply speculation, but it is indeed extraordinary that it might be contemplated to the council tenant who is behind with his rent is going to find £3400 in the next 28 days and pay it and thereby achieve what appears as My Lady has already indicated to be, the stay of enforcement of the order for possession, which has already been made."
00:09:18.740,00:09:19.970,spk_3,"Well, I find it astonishing."
00:09:20.020,00:09:31.040,spk_1,"What wants to be meant by the first payment, then if it's all to be paid in a single figure? I don't understand that, it is rather than as an indication that there might be installments, but you don't know what they are."
00:09:31.830,00:09:32.110,spk_2,"Well."
00:09:32.110,00:09:38.580,spk_3,"Well, he does actually, of course, go on to say the whole thing has got to be paid on the 4th of March, but it just seems"
00:09:38.580,00:10:12.210,spk_2,"extraordinary. Well, nothing may be added by going over the forensics of it in any greater detail. Safe to point out, for example, that it doesn't provide that he's got to pay the current rent until the 4th of March, because by accident those words have been deleted as well. It provides he's got to pay to the plaintiff the arrears of rent, meaning profits and costs, which is, as My Lady suggests, rather suggests that the intention is to be an immediate order for possession or at least unqualified order for possession. However, this was the template design for suspended"
00:10:12.210,00:10:13.140,spk_3,"orders. It"
00:10:13.140,00:10:26.100,spk_2,"can only be inferred that that's what the District Judge thought he was doing in making the order in these terms, and we note further on in the order that, of course, the entry for current rent to be stipulated has been omitted."
00:10:27.430,00:10:28.910,spk_1,"Well, there we are. Let's say [inaudible]."
00:10:29.480,00:10:30.510,spk_2,"Walks the door,"
00:10:30.510,00:10:32.270,spk_0,"That's the form. Well,"
00:10:32.280,00:10:34.970,spk_2,"[inaudible] normal order and not unrepresentative"
00:10:34.980,00:10:36.030,spk_1,"of exactly the sorts"
00:10:36.030,00:12:51.880,spk_2,"of orders that I'm afraid were and still are, to a certain extent, being made in the hurly burly of the county court. Indeed, we see from the note, which is on the prescribed form, under the words take notice, that the rubric is that if you're ill or out of work, you should ask your landlord to suspend the order until you're better at back at work. If he will not do so, you should ask the court officials to help you prepare an application to the judge, presumably inferentially to suspend the order, which apparently has already been suspended. Or this is the template for a suspended order. However, warts and all, that is the order for possession that was made. Tens of thousands of orders in this form N28 are and were in 1987 made each year, and, as I've indicated sadly often with just about the same care to detail. As the court knows, the defendant, Mr Allen Austin, did not leave the property on the 4th of March or in any date thereafter, nor did he comply with the obligation to pay the £3400 by the 4th of March 1987. So that the order certainly became enforceable on the 4th of March 1987. It never was enforced, and as we know, Mr Allen Austin was still there in that flat on his death some 18 years later in February 2005. The tenancy which Mr Allen Austin had had had been a secure tenancy and secure tenancies have been first introduced by the Housing Act of 1980. By 1987 when this order was made, the provisions have been consolidated into the Housing Act of 1985 and we have in the bound volumes in volume 4, at tab 42 the act as it stood on consolidation, and therefore, as it was, operative on the date of making a possession"
00:12:51.880,00:12:52.180,spk_3,"order."
00:12:54.690,00:13:06.080,spk_2,"Volume 4, tab 42. I apologise to the court. It would have been more usual, perhaps, to have the statutory provisions in the appendix, but that in the appendix is the current"
00:13:06.080,00:13:07.180,spk_1,"versions of the"
00:13:07.180,00:13:10.910,spk_2,"amended act. Behind tab 42, we have the"
00:13:10.910,00:13:11.850,spk_1,"provisions of the"
00:13:11.860,00:13:14.170,spk_2,"Housing Act 1985 Queens Printer's"
00:13:14.170,00:13:14.880,spk_1,"copy,"
00:13:15.140,00:14:55.280,spk_2,"and we have reproduced the page 41 using the numbering at the top of the pages of the sections material to the granted possession against a secure tenant. Section 82 is the section which bears the marginal notes, security of tenure, and it provides that a secure tenancy which is either a weekly or other periodic tenancy. We needn't read the B, cannot be brought to an end by the landlord except by obtaining an order of the court for possession of the dwelling house. Section 82(1) envisages, therefore, termination by the landlord obtaining an order of the court for possession and what we've been looking at is an order of the court for possession. Section 82(2) provides that where the landlord obtains an order for possession of the dwelling house, the tenancy ends on the date on which the tenant is to give up possession in pursuance of the order, and it is Section 82(2) and the interpretation thereof that has caused some of the difficulties in relation to tolerated trespass and to which I shall have to return in just a few moments. However, the importance ofSection 82 for present purposes, is that it provides that the tenant has security  of tenure because the tenancy can only be brought to an end by the landlord by obtaining an order for possession. The remaining provisions of what is part 4 of the 1985 act will be very familiar, I think, to members of the court. The Section 83 provides for a preliminary notice of proceedings for possession so that the tenant is, in effect, given a warning. Section 84 provides a statutory"
00:14:55.280,00:14:56.070,spk_3,"injunction"
00:14:56.870,00:19:20.530,spk_2,"in Section 84(1), that the court shall not make an order for possession of a dwelling house led under a secure tenancy, except on one or more of the grounds set out in schedule 2, so that the making of a possession order is conditional upon the landlord having satisfied one of the statutory grounds. Furthermore, Section 84(2) provides conditions, in addition to grounds. It provides that the court shall not make an order for possession on the ground set out in part 1 of schedule 2 unless it considers it reasonable on the ground set out in part 2 of that schedule unless satisfied suitable alternative accommodation will be available, or C, on the grounds set out in part 3 unless it both considers it reasonable to make the order and is satisfied suitable alternative accommodation will be available. So it is always necessary for the landlord of a secure tenant to establish for the court both a ground for possession and that the relevant condition in Section 84(2) is made out. And of course, the link between the warning notice and the ground for possession is made by Section 84(3), which provided that the court shall not make an order on any of those grounds unless the ground is specified in the notice, in pursuance of which proceedings for possession are begun. Section 85 then contains importantly, what is described as the extended discretion of the court in certain proceedings for possession, and it provides a series of extended discretions available to the court. That Section 85(1) provides that where proceedings are brought for possession of a dwelling house let under a secure tenancy on any of the grounds set out in part 1 or part 3. That is to say, cases in which the court must be satisfied that it's reasonable to make a possession order, the court may adjourn the proceedings for such period or periods as it thinks fit. It is important, therefore, to appreciate that the statutory extra discretions contained in Section 85 are limited to those cases in which the condition is that it must be reasonable to order possession. Subsection 2, having dealt with adjournment in Subsection 85(1), Subsection 85(2) provides that on the making of an order for possession of such a dwelling house, on any of those grounds, or at any time before execution of the order, the court may, A, stay or suspend the execution of the order or, B, postpone the date of possession for such period or periods as the court thinks fit. So included in that extended discretion are two discretions in, A, referring to execution of the order and in, B, referring to postponement of the date for possession. It has been observed judicially on more than one occasion that the subsection may have been more sensibly structured to have reversed A and B to deal first with the moment of the date for possession and then to deal with stay or suspension of execution. Subsection 3 makes provision for conditions and provides that on adjournment stay, suspension or postponement the court shall impose conditions in respect to payment by the tenant of arrears of rent, if any, and rental payments in respect of occupation after the termination of tenancy, mean profits, unless it considers that to do so would cause exceptional hardship to the tenant or would otherwise be unreasonable, and it may impose such other conditions as it thinks fit. 4, if the conditions are complied with, the court may, if it thinks fit, discharge or rescind the order for possession. Subsection 5 then makes provision in relation to spouses and former spouses and provides that where proceedings are brought for possession of a dwelling house, let under a secure tenancy, an attendant spouse or former spouse having rights of occupation under Matrimonial Homes Act, then in occupation and be the tendency is terminated as a result of those proceedings. The spouse or former spouse shall so long as he or she remains in occupation, have the same rights in relation to or in connection with any adjournment, stay, suspension or postponement in pursuance of this section, as he or she would have, if those rights of occupation were not affected by the termination of the tenancy."
00:19:20.890,00:19:25.700,spk_1,"Subsection 5 has been taken out. Subsection 5 is no longer there, am I right?"
00:19:25.710,00:19:26.790,spk_0,"Indeed, My Lord."
00:19:26.800,00:19:40.280,spk_2,"Two things happened. First of all, Subsection 5 was extended to deal with cohabitees and others, by the addition of a Subsection 5(a), and then most recently, both 5 and 5(a) have been repealed."
00:19:40.380,00:19:43.770,spk_1,"Are they reenacted in some other form or are they just simply gone?"
00:19:43.780,00:19:53.090,spk_2,"No My Lord they've simply gone, and the reason that they have simply gone is as My Lord well appreciates that Section 82 itself has been amended to remove Section 82"
00:19:53.090,00:19:54.150,spk_1,"(2)."
00:19:54.160,00:20:07.480,spk_2,"And to provide that, the tendency only ends on execution of the order. So there never needs to be an application in relation, by a spouse, in relation to a terminated tenancy because the tenancy can't terminate."
00:20:08.300,00:20:17.960,spk_1,"And so far as we're looking at the original Subsection 5, it doesn't actually, it's not conditional on the the the other partner of the spouse is being still alive."
00:20:17.960,00:20:20.260,spk_2,"Exactly so My Lord and as [crosstalk]."
00:20:20.260,00:20:22.050,spk_0,"Which is a point you're going to come back to."
00:20:23.380,00:21:01.930,spk_2,"Well, we deploy it in two senses, My Lord, first it was a statutory intention that the extended discretion may be available to others than the person who was the original secure tenant i e. their spouse or former spouse, but also that it postulates the situation that the spouse or former spouse, the other spouse or former spouse may apply, even though the original tenant is dead. My Lords and My Lady, those are the provisions which deal with the making of orders of possession so far as they were concerned, contained in the primary statute."
00:21:02.480,00:21:26.680,spk_3,"Can you just help me [inaudible]? It hasn't previously occurred to me that Subsection 4 provides a discretion. Now one might have thought that where you've made a conditional, possession order and the condition was fulfilled, you ought to have a duty to rescind the order."
00:21:27.650,00:22:10.730,spk_2,"Well, My Lady, if I may say so, in policy terms, it may have been contemplated that whilst you were complying with the conditions, something else may have arisen. Yes. For example, one of the cases included the bundle is the case of Finn, in which the lady had a possession order made against her, conditionally, on terms of payment of arrears of rent, but then misbehaved in the property and the question was, well, could the landlord then go back to court as it were and unscramble the original terms based on these new situations. So I suppose, My Lady, it may have been contemplated that you have a situation under 85(4) where a person would come forward and say well I've have paid off in accordance with the arrangement, and the landlords would say, well, hold on a minute don't rescind the order because there's this other matter."
00:22:10.900,00:22:15.710,spk_3,"So the landlord didn't have to start from scratch again, in those situations?"
00:22:15.720,00:22:30.430,spk_2,"That was what the Court of Appeal decided in the Manchester v Finn case, because if it had to start again, then you might have a situation in which there were two possession orders operative in relation to the same property, which is not entirely attractive."
00:22:30.430,00:22:32.300,spk_3,"You know, I was suggesting that you ought to --"
00:22:33.770,00:22:35.400,spk_2,"to be treated as automatic?"
00:22:35.410,00:22:46.580,spk_3,"Or have a duty to rescind it, and therefore if a condition of being complied, never mind. That's a side wind. I'm just noticing things that I hadn't noticed before."
00:22:46.590,00:23:43.690,spk_2,"I'm obliged, My Lady. Of course, one of the issues which we don't have to address in this appeal is the extent to which the court could express itself in the original order as to what would happen if you did comply with all the conditions. So it might say in the original order, this order shall be treated as discharged if you clear all the arrears, and when the template form was redesigned in 1993 there was further consideration of the last paragraph of what we have in our order, at paragraph, very last paragraph above the head in current, I'm back on page 5 of the appendix, where the order provides through the words, and also, that the judgment, judgments indeed, shall cease to be enforceable when the arrears of when mean profits and costs referred to above are satisfied."
00:23:44.340,00:23:48.360,spk_1,"That could be expanded or qualified, you suggest?"
00:23:48.370,00:23:49.180,spk_0,"Well, My Lord"
00:23:49.280,00:24:00.220,spk_2,"it could as I was suggesting in answer to the question from My Lady, Lady Hale, perhaps deal more explicitly with the discharge or rescission of the order itself."
00:24:00.690,00:24:01.230,spk_1,"So"
00:24:01.230,00:24:41.820,spk_2,"that a judge could provide, not simply that the order will cease to be a forcible when the rent arrears etcetera is paid, but that the order shall thereupon stand discharged. But I think as My Lady correctly observed, I don't think I can help further on that point usefully in relation to the present appeal. My Lords and My Lady, the question of the impact of a possession order in a form such as that made in respect to Mr Allen Austin was first considered on appeal in the case of Thompson v Elmbridge, which the court has to volume 3, tab 33 it's one of only"
00:24:41.830,00:24:42.600,spk_1,"three"
00:24:42.610,00:24:43.590,spk_2,"authorities on this"
00:24:43.590,00:24:44.510,spk_3,"point which we"
00:24:44.520,00:24:51.860,spk_2,"don't need to go. Thompson and Elmbridge, volume"
00:24:51.860,00:24:52.510,spk_3,"3,"
00:24:52.520,00:27:30.190,spk_2,"tab 3, at tab 33. My Lords and My Lady can I very briefly take the rather unusual facts of Thompson v Elmbridge from the head note, which is on page 1425. The local authority granted a tenancy of the dwelling to the applicant's wife. That tenancy was a secure tenancy. The wife fell into arrears of rent, and in January 1985, the local authority obtained an order in the county court for possession of the property that was not to be enforced 'for 28 days in any event' and so on, and we should look at that order in just a moment. The wife, as a result of matrimonial problems, departed permanently from the house in August 1985 and by September had permitted arrears of rent to accumulate so as to be in breach of the court order. Thereafter, the applicant that is her husband, who was unemployed, remained in occupation of the property, current rent being paid by the DHSS. In January 1986 when the applicant was still in occupation, the local authority obtained a warrant for possession of the property against the wife from the county court office. Thereupon the applicant, by way of originating application, applied to the county court to be added as a defendant in the possession proceedings taken by the local authority against his wife so as to be able in the course of divorce proceedings to have the tenancy of the property transferred to him by virtue of provisions of the Matrimonial Homes Act. On the 28th of January, the judge refused the application on the ground that pursuant to Section 82(1), the secure tenancy had terminated before the date of the application. The judge also dismissed an alternative claim by the applicant under the provisions of Section 3 of the Protection of Eviction Act. On appeal held, one, dismissing the appeal, one, that since by virtue of Section 82(1), a secure Tenancy terminated on the date when a tenant had to give up possession under a possession order, where a secure tenant failed to comply with the terms of the possession order suspended pending punctual payment of current rent in arrears and was thereby in breach of the order, the tenancy terminated at the moment of the breach. That accordingly, the wife's tenancy of the dwelling house had terminated in September 1985 when she first failed payment view and thus no secure tenancy existed, capable of being transferred to the applicant under the provisions of the Matrimonial Homes Act. So the question arose little indirectly, not on the tenants or former tenants application. Former tents exist, but indeed on the application of a spouse. The order that was made in that case appears at page 1428 of the report between letters E and"
00:27:30.190,00:27:30.740,spk_1,"G,"
00:27:32.650,00:30:53.690,spk_2,"and as Lord Justice Russell observes, just before extracting the terms of the order in the last sentence between D and E, he says that the order was in a form to be found at N28 of the prescribed form to the county court, and gives the reference, and then says the order so far as material reads, and as the members of the court will appreciate, the wording of the order is in the same template of form N28 as that used in Mr Allen Austin's case. However, in this case, there was use of the requirement for payment of current rent. After giving the address of the premises in relation to whcih the order for possession was made, the order continues in its fourth line, and the plaintiff to recover against the defendant the sum of 498, 82, for arrears of rent together with some represented costs. It's ordered that the judgement for possession will not be enforced for 28 days, in any event, and for so long thereafter, as the defendant punctually pays the plaintiff or his agent the arrears of rent and costs by installments of £10 a week in addition to the current rent. I emphasise those words and also that the judgement shall cease to be enforceable when the arrears of rent and costs referred to above are satisfied. As Lord Justice Russell then observes, it is to be observed that on the face of the order, it does not purport to terminate the tenancy. The tenancy in my judgement plainly continues and is recognised by the order as continuing. The judgement for possession, however, is suspended so long as the current rent is paid in addition to the arrears. If that were not the true interpretation of the order, then plainly the words of the current rent to which I have adverted would not appear as they do. That was the interpretation then by the Court of Appeal of an order in the template form N28, that the tenancy continued and the judgement for possession itself was suspended so long as the current rent was being paid in addition to the arrears. What then happened, as we see from the next following paragraph, is that the Court of Appeal went on to hold that the tenancy determined on breach, at letter H, that Lord Justice Russell says Mrs Thompson did not comply with the terms of that order. In August 1985, we are told that she left as a result of matrimonial problems. She left taking her child with her, indicated to the local authority, no prospect of reconciliation. They properly advised her to receive assistance, by September 1985, it is acknowledged on all sides, Mrs. Thompson had again permitted arrears of rent to accumulate and was in breach of the order obtained against her in the county court. When she left the matrimonial home, the applicant remained. The rent was paid by DHSS. None of the arrears was paid after her departure, and then the factual situation is, they described, the question that the court was addressing at that juncture is set out at 1429, letter F. In this appeal, therefore, the question arises whether there was on the 5th of February 1986, when the husband applied an extant secure tenancy which could be transferred."
00:30:53.700,00:30:55.360,spk_1,"So yay"
00:30:55.360,00:32:02.450,spk_2,"or nay, was the tenancy still on foot? In order to answer that question, Lord Justice Russell looked again at the statute and in particular Section 82(2) which he set out at the foot of page 1429. He was then shown a Rent Act case of Sharon v Brand, which were advanced by counsel for the husband, between D and A, supporting the contention that the tenancy had not come to an end, and he rejected that submission on page 1430 before letters, between letters F and G. He describes his holding as this, just above letter F, what I think is more important than indeed crucial is that insurance that Sharon's case was dealing with an entirely different code of legislation, namely the Rent Acts to that with which this case is concerned, namely the Housing Act 1985 and, in particular, in the instant case, the court has the advantage of the statutory provisions which are earlier referred, namely Section 82(2), which seeks to define the date when the tendency is"
00:32:02.450,00:32:03.450,spk_3,"to come to an end."
00:32:03.470,00:32:05.850,spk_2,"Accordingly, I'm of the opinion that court is free"
00:32:05.850,00:32:06.840,spk_1,"to distinguish, Sharon and"
00:32:06.840,00:33:16.680,spk_2,"brand both on facts and law. He's then between G and H, sets out Section 82(2) again, he reverts to the terms of the order at letter H, and writes on the penultimate line on the page he says, in my judgement, once the defendant in proceedings of this kind where there is a suspended order for possession, ceases to comply with the conditions of the order, namely the punctual payment of the current rent and arrears, and there is a breach of the terms of the order, the tenancy, whatever it may be from that moment comes to an end. I perhaps ought to just explain the words, whatever it may be, because one of the issues in the case was whether the tenancy could still be a secure tenancy, given that the tenant had left. But Lord Justice Russell is clear that whether it's secure or insecure at the moment of breach, it came to an end, and that is made clear on page 1431 at letter D, where in mid paragraph, he says, whatever the nature of the tendency, in my judgement, it came to an end on the 5th September 1985 when the wife first breached the terms of the order."
00:33:17.180,00:33:21.160,spk_3,"But the landlord wouldn't have been allowed to send the bailiffs in the moment that happened, would they?"
00:33:22.400,00:33:48.330,spk_2,"The landlord administratively applies for a warrant, which is in fact, exactly what happened in this case. But the court staff simply need to be told yay or nay is their noncompliance with the order. Indeed, they were not told that, they were simply filling in a form. So the form is handed over the counter and then an appointment is booked with the bailiffs to attend. So when My Lady says they couldn't have applied for a warrant,"
00:33:48.340,00:33:58.590,spk_3,"I didn't say that. I'm sorry, My Lady. I said they couldn't have turned up with the bailiffs on the day that the rent wasn't paid. They would have had to have gone to the court and got a warrant."
00:33:59.450,00:34:00.310,spk_2,"Yes, My Lady. They"
00:34:00.320,00:34:02.730,spk_3,"couldn't have evicted on that day."
00:34:03.090,00:34:11.179,spk_2,"No they couldn't have evicted on that day, unless the position of the court was such, that on that day they fill in an application, and the bailiff said we --"
00:34:11.419,00:34:23.419,spk_3,"If they managed to go around to the court, that's the point I'm making. They had to do something which involved the court in order to give them the right physically to obtain possession of the fact -- this is a point in your favour, Mr Luba."
00:34:24.030,00:34:32.350,spk_2,"I'm very grateful for that, and any other points. My Lady, I'm only anxious to take points in my favour, which"
00:34:32.350,00:34:33.550,spk_3,"are absolutely"
00:34:33.550,00:35:22.980,spk_2,"substantial and correct, and if I may respectfully say so, My Lady is correct in both respects, the landlord is not able in this class of case, that is to say, where order for possession has been obtained in respect of residential premises to go in on the date, if there is a date in the possession order or, as in this case, on the date on which there is a breach of the terms of the order. It is necessary for the application to be made under what is still county court order 26 for there to be execution of the order, and that is by warrant of possession, and a warrant of possession is obtained only on application. In the High Court, such an application requires judicial consideration, but in the county court, as in this case, it's entirely"
00:35:22.980,00:35:25.310,spk_3,"administrative. Could"
00:35:25.310,00:35:28.190,spk_2,"I ask you right at the end of his judgment on page 1432"
00:35:28.190,00:35:29.620,spk_1,"Lord Justice"
00:35:29.620,00:35:31.530,spk_0,"Russell makes some remarks about"
00:35:31.540,00:35:32.420,spk_2,"Section 85"
00:35:32.420,00:35:33.720,spk_0,"(5)"
00:35:33.870,00:35:35.290,spk_2,"of which"
00:35:35.300,00:35:37.990,spk_0,"are they right? It"
00:35:37.990,00:35:38.850,spk_2,"seems a very"
00:35:38.860,00:35:39.590,spk_1,"restrictive"
00:35:39.590,00:36:30.200,spk_2,"interpretation of the subsection. Well, I had intended to read it in rather more measured terms. You were coming to that? Well, My Lord, I'll deal with it immediately. In my respectful submission, it's plainly wrong. Section 85(5) contemplates the precise situation in which Mr Thompson founded-- But that's what I thought. Yes, but this court, the Court of Appeal in that case appears to have held that because the tenancy had ended, there was nothing further in relation to which he continued to have a matrimonial right, but that seems to fly against the closing words of the subsection, which are that the rights are not affected by the termination of the tenancy. Yes. It does seem the most extraordinary finding, if I may respectfully say so. And it seems to"
00:36:30.210,00:36:33.240,spk_0,"deprive Section 85(5) of"
00:36:33.250,00:36:34.510,spk_2,"effect in almost any"
00:36:34.510,00:36:35.520,spk_1,"situation you can"
00:36:35.520,00:37:00.160,spk_2,"think of. Yes, My Lord, and even more starkly than that, 85(5), is there precisely to deal with what had been the position in law before. That is to say, if an order had determined the tenancy, then there were no matrimonial rights for the spouse, and Section 85(5) specifically made provisions for what you might have thought would be Mr Thompson's exact circumstances."
00:37:01.830,00:37:07.480,spk_3,"That's on the basis that the previous part of the decision is correct, which you are now challenging."
00:37:07.720,00:37:09.010,spk_2,"Well indeed, My Lady. Yes."
00:37:09.760,00:37:16.750,spk_3,"So what do you say if you're right about your main argument. What was 85(5), therefore?"
00:37:17.500,00:37:58.040,spk_2,"85(5), My Lady, was part of an attempt to address across all three statutory regimes, the particular problem of a tenancy having ended in a situation where a spouse had matrimonial home rights. So an equivalent provision was introduced into the Rent Act, Extended discretion into the Housing Act, extended discretion and, I believe, when eventually enacted into the Housing Act 1988. As Lord Neuberger was subsequently to describe in this court, sorry, the House of Lords judgment in Knowsley v White, this was simply an aspect of torrential drafting."
00:37:58.700,00:37:59.620,spk_1,"Of what? drafting?"
00:37:59.630,00:38:14.710,spk_2,"Torrential drafting. Yes, My Lord. It was, in fact, unnecessary, if, as I now contend on a true construction of these provisions, the tenancy is not ended by the possession until execution is taken."
00:38:14.720,00:38:15.560,spk_0,"And that's why you say it's"
00:38:15.560,00:38:16.720,spk_1,"not been taken out?"
00:38:18.440,00:38:48.600,spk_2,"Exactly so, My Lord. It is said against me that it's now been taken out precisely because the position in relation to Section 82 has been clarified. I say that it was redundant at any event, if needed, but in so far as it had any use, its use appears to have been removed altogether by the passage on page 1432, which appeared to private applications at a very classic case to which it might be thought it ought to have been applied. Had the first part of the decision, as My Lady says, have been correct."
00:38:49.300,00:38:57.270,spk_3,"When was 85(5) introduced? Was it introduced after the 80 act and part of the consolidation in 85?"
00:38:57.280,00:39:03.060,spk_2,"It may have been introduced in 1984 My Lady. Sorry."
00:39:03.790,00:39:04.920,spk_1,"After"
00:39:04.930,00:39:06.850,spk_2,"and as a result of the Matrimonial Homes"
00:39:06.850,00:39:07.150,spk_1,"Act, wasn't it?"
00:39:07.900,00:39:11.500,spk_2,"It was introduced as a result of the decision in a case that I believe is called Pen v Dunn."
00:39:12.610,00:39:18.880,spk_3,"That's it. Thank you. Yes. The Matrimonial Homes Act was 67, so,"
00:39:18.890,00:39:20.010,spk_2,"Yes, My Lady, and then"
00:39:20.200,00:39:21.480,spk_3,"19"
00:39:21.480,00:39:32.530,spk_2,"83. If we go to the original enactment of the Housing Act 1980 for the extended grounds for possessions, which are behind tab 41."
00:39:36.190,00:39:38.300,spk_1,"When was Pen v Dunn? That was in?"
00:39:38.310,00:39:39.490,spk_0,"19--"
00:39:42.430,00:39:46.900,spk_1,"I would have to find it, My Lord. So this is tab 41 of the 1980 act?"
00:39:47.010,00:39:51.560,spk_2,"Tab 41 is the 1980 act originally introducing secure tendencies."
00:39:56.990,00:39:58.730,spk_1,"Which section are we concerned with?"
00:39:58.740,00:40:00.840,spk_2,"Section 33 on page 28 My"
00:40:00.840,00:40:01.720,spk_1,"Lord. Yeah."
